epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,767.235,0.79745,2.16959,1.29188,0.60697,0.4853,0.59291,0.42316,0.99402,2.40346,1.63678,0.00054845,0.00054845,0.00054845
2,1456.22,0.82501,1.45646,1.2997,0.73912,0.23847,0.2802,0.15585,1.32087,2.86638,2.14197,0.000885502,0.000885502,0.000885502
3,2232.04,0.85612,1.36435,1.31895,0.49538,0.60198,0.54567,0.35422,1.07482,2.05768,1.61788,0.00100251,0.00100251,0.00100251
4,2913.08,0.78212,1.24313,1.26918,0.75141,0.63558,0.71182,0.55454,0.80348,1.53319,1.34697,0.000676802,0.000676802,0.000676802
5,3592.12,0.67739,1.08031,1.19892,0.70992,0.79156,0.79641,0.65993,0.69202,1.26254,1.21082,0.000346736,0.000346736,0.000346736
